bioguide_id,ap_pol_id
J000298,65298
G000579,65480
C001109,65587
E000298,6662
G000584,65131
N000190,51896
H001078,61015
G000585,65841
C001114,44042
S001203,66096
H001079,28529
L000588,66101
L000589,66086
C001115,66028
B001306,66237
